Draw_Number,Date,Numbers_Drawn
4533,2024-12-28,26,41,4,12,29,40,34,31
4531,2024-12-21,44,27,38,18,9,25,23,7
4529,2024-12-14,30,35,6,7,21,11,29,13
4527,2024-12-07,1,16,11,13,35,7,5,14
4525,2024-11-30,16,30,41,8,39,13,38,28
4523,2024-11-23,3,40,25,17,42,6,7,28
4521,2024-11-16,6,5,8,44,29,38,1,9
4519,2024-11-09,30,39,6,37,5,43,45,17
4517,2024-11-02,18,6,42,10,1,3,5,40
4515,2024-10-26,42,35,1,43,25,29,19,31
4513,2024-10-19,26,15,33,43,22,5,4,11
4511,2024-10-12,8,2,21,45,10,28,27,30
4509,2024-10-05,13,30,18,24,27,15,41,26
4507,2024-09-28,34,40,29,15,19,37,6,44
4505,2024-09-21,6,21,24,29,32,42,25,30
4503,2024-09-14,6,32,38,22,14,34,19,41
4501,2024-09-07,16,38,7,15,20,13,26,41
4499,2024-08-31,6,39,15,20,32,4,30,1
4497,2024-08-24,5,43,8,42,45,44,24,32
4495,2024-08-17,23,15,41,25,1,3,45,11
4493,2024-08-10,42,37,4,45,10,38,36,15
4491,2024-08-03,12,41,11,10,45,13,40,28
4489,2024-07-27,4,37,45,27,11,20,15,10
4487,2024-07-20,31,30,23,29,17,25,6,14
4485,2024-07-13,21,2,36,24,18,1,14,27
4483,2024-07-06,4,20,26,3,15,44,7,35
4481,2024-06-29,30,24,44,21,45,10,31,28
4479,2024-06-22,37,22,2,35,38,40,9,44
4477,2024-06-15,34,40,12,23,36,38,8,30
4475,2024-06-08,24,32,30,3,14,13,33,40
4473,2024-06-01,22,42,39,28,5,21,13,29
4471,2024-05-25,38,22,35,8,36,10,11,23
4469,2024-05-18,20,32,9,43,13,26,14,34
4467,2024-05-11,20,17,21,31,44,41,18,37
4465,2024-05-04,14,42,26,12,29,5,9,41
4463,2024-04-27,1,26,7,20,39,34,8,10
4461,2024-04-20,44,6,16,43,19,25,4,14
4459,2024-04-13,18,25,19,16,1,3,7,33
4457,2024-04-06,6,37,5,14,36,45,31,28
4455,2024-03-30,44,42,43,15,12,9,18,36
4453,2024-03-23,12,17,1,32,16,19,27,34
4451,2024-03-16,44,40,35,17,28,3,26,33
4449,2024-03-09,11,25,17,3,2,31,15,24
4447,2024-03-02,19,15,18,30,5,8,7,26
4445,2024-02-24,26,38,42,16,17,39,32,37
4443,2024-02-17,22,11,34,28,25,7,32,35
4441,2024-02-10,42,2,12,13,1,20,15,3
4439,2024-02-03,23,11,29,3,19,22,30,20
4437,2024-01-27,8,36,29,24,5,13,40,15
4435,2024-01-20,35,37,11,22,27,33,8,1
4433,2024-01-13,41,33,40,39,8,37,35,2
4431,2024-01-06,17,12,36,42,13,34,41,38
